Type,	n_val,	m_val,	RV,	RN,	RE,	IRN,	IRE
['er', 50, 2, 3.893013750180924, 4.7222606212489495, 4.694444444444445, 5.365629172137447, 5.692708333333333]
['ba', 50, 2, 3.8400000000000007, 7.413586095840565, 6.534027777777777, 8.515654675074952, 9.713541666666666]
